Time[s], RH_HIH[%],  T_HIH[degC] 
14:03:26.882 -> , 6.44,18.24
14:03:36.924 -> , 7.00,17.92
14:03:46.993 -> , 7.30,18.34
14:03:57.023 -> , 7.52,18.34
14:04:07.086 -> , 7.64,18.39
14:04:17.103 -> , 7.78,18.39
14:04:27.167 -> , 7.88,18.42
14:04:37.182 -> , 7.98,18.45
14:04:47.241 -> , 8.08,18.52
14:04:57.283 -> , 8.20,18.56
14:05:07.337 -> , 8.15,19.48
14:05:17.398 -> , 7.88,19.48
14:05:27.455 -> , 7.98,19.38
14:05:37.468 -> , 8.03,19.35
14:05:47.522 -> , 0.00,33.27
14:05:57.584 -> , 0.00,33.26
14:06:07.635 -> , 0.00,33.63
14:06:17.671 -> , 0.00,34.66
14:06:27.730 -> , 0.00,35.65
14:06:37.776 -> , 0.00,36.07
14:06:47.807 -> , 0.00,35.33
14:06:57.849 -> , 0.00,35.41
14:07:07.882 -> , 0.00,35.35
14:07:17.922 -> , 0.00,35.82
14:07:27.985 -> , 0.00,36.22
14:07:38.036 -> , 0.00,35.72
14:07:48.080 -> , 0.00,35.51
14:07:58.109 -> , 0.00,35.24
14:08:08.166 -> , 0.00,35.56
14:08:18.209 -> , 0.00,35.05
14:08:28.253 -> , 0.00,34.63
14:09:12.837 -> , 0.00,31.55
14:09:22.881 -> , 0.00,31.48
14:09:32.946 -> , 0.00,31.56
14:09:43.003 -> , 0.00,32.10
14:09:53.013 -> , 0.00,30.50
14:10:03.074 -> , 0.00,32.24
14:10:13.116 -> , 0.00,32.17
14:10:23.148 -> , 0.00,33.61
14:10:33.211 -> , 0.00,33.69
14:10:43.259 -> , 0.00,33.42
14:10:53.285 -> , 0.00,32.87
14:11:03.348 -> , 0.00,33.49
14:11:13.398 -> , 0.00,33.23
14:11:23.458 -> , 0.00,33.14
14:11:33.475 -> , 0.00,33.08
14:11:43.551 -> , 0.00,32.01
14:11:53.566 -> , 0.00,33.26
14:12:03.617 -> , 0.00,26.81
14:12:13.678 -> , 0.00,25.01
14:12:23.697 -> , 0.00,26.88
14:12:33.745 -> , 0.00,25.24
14:12:43.796 -> , 0.00,24.83
14:12:53.840 -> , 0.00,23.91
14:13:03.914 -> , 0.00,23.42
14:13:13.927 -> , 0.00,26.73
14:13:23.991 -> , 0.00,26.50
14:13:34.044 -> , 0.00,28.00
14:13:44.103 -> , 0.00,28.08
14:13:54.107 -> , 0.00,29.14
14:14:04.186 -> , 0.00,28.71
14:14:14.217 -> , 0.00,31.08
14:14:24.288 -> , 0.00,28.95
14:14:34.336 -> , 0.00,27.00
14:14:44.364 -> , 0.00,25.45
14:14:54.391 -> , 0.00,24.48
14:15:04.432 -> , 0.00,25.68
14:15:14.477 -> , 0.00,26.56
14:15:24.528 -> , 0.00,30.19
14:15:34.611 -> , 0.00,29.28
14:15:44.620 -> , 0.00,28.43
14:15:54.691 -> , 0.00,30.81
14:16:04.727 -> , 0.00,30.97
14:16:14.796 -> , 0.00,30.84
14:16:24.801 -> , 0.00,30.76
14:16:34.857 -> , 0.00,29.70
14:16:44.928 -> , 0.00,29.21
14:16:54.973 -> , 0.00,30.68
14:17:05.025 -> , 0.00,30.02
14:17:15.032 -> , 0.00,31.79
14:17:25.101 -> , 0.00,30.53
14:17:35.134 -> , 0.00,29.10
14:17:45.206 -> , 0.00,28.55
14:17:55.216 -> , 0.00,27.00
14:18:05.283 -> , 0.00,27.67
14:18:15.336 -> , 0.00,31.67
14:18:25.359 -> , 0.00,32.79
14:18:35.405 -> , 0.00,32.51
14:18:45.452 -> , 0.00,32.93
14:18:55.496 -> , 0.00,33.71
14:19:05.573 -> , 0.00,32.40
14:19:15.621 -> , 0.00,21.50
14:19:25.667 -> , 0.00,29.36
14:19:35.688 -> , 0.00,25.83
14:19:45.748 -> , 0.00,29.92
14:19:55.775 -> , 0.00,31.80
14:20:05.845 -> , 0.00,32.65
14:20:15.902 -> , 0.00,33.37
14:20:25.958 -> , 0.00,31.86
14:20:36.008 -> , 0.00,33.26
14:20:46.031 -> , 0.00,33.16
14:20:56.056 -> , 0.00,33.18
14:21:06.135 -> , 0.00,33.18
14:21:16.151 -> , 0.00,33.18
14:21:26.217 -> , 0.00,33.20
14:21:36.289 -> , 0.00,33.16
14:21:46.313 -> , 0.00,33.18
14:21:56.367 -> , 0.00,33.18
14:22:06.433 -> , 0.00,33.18
14:22:16.463 -> , 0.00,33.16
14:22:26.501 -> , 0.00,33.14
14:22:36.529 -> , 0.00,33.16
